type,category,text,options,correct_answer
multiple_choice,reasoning,"A bat and ball cost 1.10 in total. The bat costs 1.00 more than the ball. How much does the ball cost?","[{""letter"":""A"",""text"":""0.05""},{""letter"":""B"",""text"":""0.10""},{""letter"":""C"",""text"":""0.15""}]",A
multiple_choice,reasoning,"In a race you pass the person in second place. What position are you in now?","[{""letter"":""A"",""text"":""First""},{""letter"":""B"",""text"":""Second""},{""letter"":""C"",""text"":""Third""}]",B
open_ended,open_ended,"What is your favourite food?","",""
open_ended,open_ended,"What do you like to do in your free time?","",""
open_ended,open_ended,"Describe your ideal day.","",""
open_ended,open_ended,"What is something that made you smile recently?","",""
open_ended,open_ended,"If you could visit anywhere in the world, where would you go?","",""
open_ended,open_ended,"What is a skill you would like to learn?","",""
open_ended,open_ended,"What do you find most relaxing?","",""
open_ended,open_ended,"What is a place you feel most comfortable?","",""
open_ended,open_ended,"What is something you are grateful for today?","",""
open_ended,open_ended,"How do you like to spend a quiet evening?","",""
